nome,categoriaPrincipal,subcategoria,endereco,instagram,motivo
Hip Suplementos,"Academias, Esportes & Bem-Estar",Suplementos,"Av. Santa Catarina, 915 - Loja 4 (ao lado da Smart Fit e Academia Pano Bianco)",hipsuplementos,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Yogavilamascote,"Academias, Esportes & Bem-Estar",Academia/Fitness,"Av. Mascote, 486 – sala 12",yogavilamascote,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Fecarvalho Makeup,Beleza & Estetica,Maquiagem,"Rua Palestina, 18 - sala 01",fecarvalho_makeup,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Janasestetica,Beleza & Estetica,Estetica clinica,"Av. Mascote, 1291 - sala 2",janasestetica,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Ted Barbearia,Beleza & Estetica,Barbearia,"Rua Coriolano Durand, 655",ted_barbearia,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Coffeelândia,"Cafes, Padarias & Doces",Cafe pet friendly,"Rua Lacedemônia, 413",coffeelandia_,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Casaelleganceprime,"Casa, Decoracao & Organizacao",Marcenaria / moveis,"Av. Prof. Vicente Ráo, 2077",casaelleganceprime,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Girasole Boutiquedosaromas,"Casa, Decoracao & Organizacao",Aromas / presentes,"Avenida Vereador João de Lucca, 627 – Sobreloja da Zophi Modas",girasole.boutiquedosaromas,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Luh Organizer,"Casa, Decoracao & Organizacao",Organizacao,,luh.organizer,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Nobre Marcenaria,"Casa, Decoracao & Organizacao",Marcenaria / moveis,,nobre.marcenaria,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Escola Ludus,Educacao & Cursos,Escola de idiomas,"Avenida Jônia, 655",escolaludus,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Olimpiafutebol,Educacao & Cursos,Academia/Fitness,"Rua Viaza, 834 – Jardim Aeroporto",olimpiafutebol,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Kasportsoficial,Festas & Eventos,Eventos / recreacao,,kasportsoficial,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Projetosfesta,Festas & Eventos,Festas / decoracao,,projetosfesta,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Babbo Giovanni Vila Mascote,Gastronomia & Delivery,Pizzaria,"Avenida Washington Luís, 3512",babbogiovannivilamascote,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Casapalma Restaurante,Gastronomia & Delivery,Restaurante,"Rua Professor Azevedo Antunes, 130",casapalmarestaurante,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
Fashiongrill Br,Gastronomia & Delivery,Hamburgueria,"Rua Rishin Matsuda, 763 – próximo à Kalunga",fashiongrill_br,Sem coordenada confirmada; removido do mapa interno para evitar pin incorreto.
